pco2_psig,velocidad_fts,conductividad_uscm,cl_ppm,ph_xx,temperatura_f,presion_psig,anos_y,agua_bwpd,crudo_bopd,fe_total,so4_ppm,n2_mol,metano_mol,velcorr_mpy,espesormin_mm,co2_mol,na_ppm,ba_ppm,mg_ppm,ca_ppm,sr_ppm,hco3_megl,sst_ppm,sdt_ppm,alcalinidad_ppm,patronflujo_xx,fault_xx,diametronom_in,diametroint_in,diametroext_in,durezatotal_ppm,espesor_mm,flujogas_mmscfd,velcorrcal_cmpy,desgaste_xx,vidaremanenteactual_yr,vidaremanenteinstalacion_yr
47.3349906,,464.9,4.54,7.298999999999999,249.8,131.22,27.14305270362765,24447.48,152.5200000000004,0.9807,84.5,35.211,4.3222,-0.3768630696430255,6.28,36.073,53.584,1.057,0.0,3.95,0.187,3.0,66.80000000000001,292.7,0.0,0.0,0,3.0,3.068,3.5,0.0,6.02,4575.6,-0.37712119503319197,-0.043189368770764236,-656.0581664910414,-655.6091191491585
44.23850865,,619.1700000000002,15.965,7.358699999999999,249.34,114.03,27.91786447638604,27244.25,255.75,1.03567,117.51,37.3811,11.0632,3.7626861073080784,4.44,38.7955,46.34499999999999,1.0245,0.0,14.277,0.9735999999999999,2.07,55.94,278.67,0.0,0.0,0,3.0,3.068,3.5,0.0,7.11,7672.5,3.7652632895733573,0.3755274261603375,46.45701092812067,46.425212837136336
70.503471,,401.0,7.6,7.78,249.19,156.57,10.362765229295,17276.0,224.0,0.862,91.0,29.69,5.12,11.351792716795474,3.03,45.03,60.01,1.38,0.0,4.1,0.19,4.0,26.0,305.0,0.0,0.0,0,4.0,4.026,4.5,0.0,6.02,6720.0,11.35956791728643,0.49667774086378735,10.508590278095935,10.501397540054803
34.597059,,462.0,3.7,7.26,247.72,95.23,7.353867214236824,9587.275,62.72500000000036,0.974,86.0,35.15,4.22,0.32099952509659097,5.96,36.33,52.03,1.05,0.0,3.7,0.17,3.0,67.0,294.0,0.0,0.0,0,4.0,4.026,4.5,0.0,6.02,1881.8,0.32121938778501324,0.009966777408637809,730.9844748858495,730.4841432808627
69.66273600000001,,802.0,8.5,7.63,248.93,159.12,6.940451745379876,12301.908,58.09199999999873,0.984,119.0,35.61,3.25,33.94506789013576,5.19,43.78,57.0,1.27,0.0,12.7,0.41,3.0,15.0,279.0,0.0,0.0,0,3.0,3.068,3.5,0.0,5.49,1742.8,1.7017658295671614,0.05464480874316936,6.019452054794524,120.06981519507193
43.03647216,,795.64,8.816,7.618399999999999,249.05,98.46,27.46611909650924,21723.7,76.29999999999927,0.98688,119.08,35.6602,3.4052,-3.8860161694134963,6.44,43.7096,56.5256,1.258,0.0,12.784,0.4344,2.96,16.64,279.04,0.0,2.0,0,3.0,3.068,3.5,0.0,5.49,2289.0,-1.361734967788118,-0.17304189435336978,-65.24504686373466,-186.19137577002047
48.75187616,,487.76,7.736000000000001,7.3936,248.68,121.16,26.32169746748802,23000.48,199.5200000000004,1.0988,77.72,29.7452,6.7177,-0.25409958246586056,6.19,40.2376,55.6872,1.7204,0.0,2.677280000000001,0.1172,4.0,53.48,268.04,0.0,2.0,0,8.0,7.981,8.625,0.0,6.02,5985.6,-0.25427362327576875,-0.028239202657807445,-959.0759065269898,-958.4194548455885
55.72756200000001,,794.0500000000001,8.895,7.6155,249.04,127.29,19.26351813826146,26252.16,147.8400000000001,0.9876,119.1,35.61,3.25,2.0409070315591498,6.72,43.78,56.407,1.255,0.0,12.805,0.4405,2.95,17.05,279.05,0.0,0.0,0,6.0,6.065,6.625,0.0,7.11,4435.2,0.7970678356081001,0.054852320675105565,129.63203371970476,331.92523561312004
59.907514,,711.0,69.7,7.41,249.21,120.83,28.11772758384668,18236.24,163.7599999999984,0.984,496.0,23.21,8.82,0.2238765918622382,5.86,49.58,204.0,5.27,0.0,2.4,0.12,5.0,52.0,588.0,0.0,0.0,0,6.0,6.065,6.625,0.0,6.02,4912.8,0.2240299319936507,0.026578073089700876,1030.517123287676,1029.8117727583895
39.845322,,643.0,16.4,7.34,247.66,98.97,9.763175906913073,8977.15,122.8500000000004,1.056,121.0,38.12,11.01,13.136976077653786,3.85,40.26,45.14,0.97,0.0,14.8,1.02,2.0,56.0,280.0,0.0,0.0,0,6.0,6.065,6.625,0.0,7.11,3685.5,13.145974006474095,0.45850914205344584,11.53802840574838,11.530131055710223
49.37610299999999,,462.0,3.7,7.26,212.47,135.91,10.362765229295,7133.995,416.0050000000001,0.974,86.0,35.15,4.22,9.643328929986788,3.48,36.33,52.03,1.05,0.0,3.7,0.17,3.0,67.0,294.0,0.0,0.0,0,4.0,4.026,4.5,0.0,6.02,12489.0,9.64993394980185,0.4219269102990033,14.207528853413875,14.19780432990024
9.2746,,491.0,12.1,7.65,249.48,39.5,2.532511978097194,8503.056,244.9439999999995,1.041,71.0,38.2,9.33,1.3981698233666717,5.4,23.48,67.57,1.12,0.0,6.2,0.34,3.0,65.0,281.0,0.0,2.0,0,3.0,3.068,3.5,0.0,5.49,7348.3,1.3991274739306214,0.016393442622950793,152.05479452054817,151.95071868583184
16.80051497891831,7.575972976995097,633.999335030023,18.65777590937126,7.420486346847773,235.61,39.69,24.58590006844627,38071.43,828.5699999999997,1.145920562034326,99.82529154467281,31.79244780594679,11.64725022222222,28.039178029575574,7.06,42.32933983098591,50.09898320844469,1.002030100879774,0.0,9.721969473766295,0.7614114320957898,2.674602258629368,33.97643992939125,288.5413334845703,0.0,1.0,0,8.0,7.981,8.625,0.0,8.18,24844.8,1.793486838644056,0.136919315403423,9.913013698630136,154.97897721717027
24.29789,,582.0,12.6,7.12,245.62,102.35,7.583561643835616,7448.0,152.0,1.532,61.0,37.45,8.41,13.497906331072775,3.42,23.74,52.29,0.93,0.0,0.072,0.14,4.0,93.0,284.0,0.0,1.0,0,3.0,3.068,3.5,0.0,6.02,4560.0,13.497906331072777,0.4318936877076412,9.975300316122237,9.975300316122235
